Date,realClose_nextDay,Predict_nextDay,realClose_next6mth,Predict_next6mth,realClose_next1year,Predict_next1year
2020-01-02,28.649999618530277,27.311792,24.5,27.767897,29.15999984741211,27.807892
2020-01-03,28.450000762939453,27.2894,24.520000457763672,27.741547,28.86000061035156,27.779755
2020-01-06,28.450000762939453,27.191704,24.1200008392334,27.568632,28.65999984741211,27.603058
2020-01-07,28.25,27.238634,24.059999465942383,27.61511,29.21999931335449,27.64376
2020-01-08,28.799999237060547,27.1384,24.280000686645508,27.466093,29.280000686645508,27.48711
2020-01-09,28.799999237060547,27.418562,24.07999992370605,27.868948,29.6200008392334,27.886436
2020-01-10,29.149999618530277,27.46265,24.280000686645508,27.892382,29.63999938964844,27.908508
2020-01-13,29.049999237060547,27.53855,24.520000457763672,27.978064,29.420000076293945,28.01235
2020-01-14,28.950000762939453,27.468922,24.780000686645508,27.910473,29.239999771118164,27.942266
2020-01-15,29.0,27.430197,25.059999465942383,27.834192,28.739999771118164,27.864145
2020-01-16,29.200000762939453,27.49584,24.940000534057617,27.90263,28.63999938964844,27.92889
2020-01-17,28.950000762939453,27.599234,24.979999542236328,28.04427,28.559999465942383,28.070005
2020-01-20,28.149999618530277,27.486635,25.479999542236328,27.868565,28.540000915527344,27.884617
2020-01-21,28.549999237060547,27.100584,25.420000076293945,27.335016,27.739999771118164,27.337046
2020-01-22,28.0,27.280386,24.899999618530277,27.61286,27.940000534057617,27.613516
2020-01-23,28.100000381469727,27.120388,25.200000762939453,27.33426,28.100000381469727,27.324018
2020-01-24,27.299999237060547,27.07311,25.31999969482422,27.3043,28.479999542236328,27.304934
2020-01-29,26.649999618530277,26.765123,25.34000015258789,26.903101,28.299999237060547,26.89518
2020-01-30,26.5,26.516996,25.540000915527344,26.571829,28.5,26.561907
2020-01-31,26.5,26.377657,25.559999465942383,26.422636,28.600000381469727,26.417265
2020-02-03,26.850000381469727,26.405182,25.700000762939453,26.400583,28.0,26.392935
2020-02-04,26.950000762939453,26.573326,25.520000457763672,26.66678,27.76000022888184,26.654089
2020-02-05,27.700000762939453,26.596205,25.459999084472656,26.705688,27.76000022888184,26.695265
2020-02-06,27.549999237060547,26.853659,25.3799991607666,27.035513,28.239999771118164,27.046347
2020-02-07,27.399999618530277,26.79587,24.239999771118164,26.94757,27.86000061035156,26.960215
2020-02-10,27.75,26.63375,24.600000381469727,26.843204,26.700000762939453,26.858255
2020-02-11,28.049999237060547,26.842106,25.1200008392334,27.126287,25.65999984741211,27.133482
2020-02-12,27.950000762939453,27.014364,25.0,27.304674,26.040000915527344,27.31391
2020-02-13,28.0,26.923342,25.700000762939453,27.179857,26.84000015258789,27.199427
2020-02-14,28.149999618530277,26.922972,25.8799991607666,27.208174,26.520000457763672,27.229628
2020-02-17,27.700000762939453,27.0194,26.15999984741211,27.322298,26.71999931335449,27.342897
2020-02-18,27.850000381469727,26.805801,26.399999618530277,27.007383,26.68000030517578,27.030916
2020-02-19,27.75,26.854273,26.399999618530277,27.08441,26.940000534057617,27.110935
2020-02-20,27.5,26.887682,26.34000015258789,27.107367,26.71999931335449,27.122456
2020-02-21,27.049999237060547,26.75674,26.299999237060547,26.939817,26.700000762939453,26.955187
2020-02-24,27.100000381469727,26.539404,26.540000915527344,26.690569,26.76000022888184,26.701479
2020-02-25,26.950000762939453,26.584948,26.57999992370605,26.759619,27.07999992370605,26.763987
2020-02-26,27.149999618530277,26.556305,26.68000030517578,26.683111,27.13999938964844,26.68413
2020-02-27,26.450000762939453,26.633554,26.520000457763672,26.815048,26.979999542236328,26.81765
2020-02-28,26.649999618530277,26.323187,26.57999992370605,26.449484,26.899999618530277,26.445648
2020-03-02,26.600000381469727,26.356258,26.63999938964844,26.533,26.71999931335449,26.53465
2020-03-03,26.549999237060547,26.405088,26.739999771118164,26.518375,26.26000022888184,26.516388
2020-03-04,27.049999237060547,26.320333,26.780000686645508,26.422056,26.3799991607666,26.42689
2020-03-05,26.5,26.552328,26.940000534057617,26.717094,25.84000015258789,26.73189
2020-03-06,26.450000762939453,26.284397,27.07999992370605,26.345766,25.3799991607666,26.366331
2020-03-09,25.450000762939453,26.272474,26.559999465942383,26.38912,25.68000030517578,26.397728
2020-03-10,25.75,25.94227,26.71999931335449,25.933638,26.239999771118164,25.933172
2020-03-11,25.549999237060547,25.9979,26.68000030517578,26.059904,26.26000022888184,26.06531
2020-03-12,24.600000381469727,25.901985,26.899999618530277,25.944613,25.979999542236328,25.94882
2020-03-13,24.399999618530277,25.577984,26.979999542236328,25.525211,25.959999084472656,25.524542
2020-03-16,23.350000381469727,25.449152,26.6200008392334,25.387775,26.100000381469727,25.387346
2020-03-17,23.600000381469727,25.075209,26.459999084472656,24.93462,26.420000076293945,24.932915
2020-03-18,22.0,25.06219,26.68000030517578,24.983479,26.600000381469727,24.988049
2020-03-19,23.100000381469727,24.278826,26.600000381469727,24.25707,26.700000762939453,24.270973
2020-03-20,22.0,24.760227,26.700000762939453,24.959942,26.540000915527344,24.951843
2020-03-23,23.049999237060547,24.456348,26.57999992370605,24.525928,26.76000022888184,24.514265
2020-03-24,23.799999237060547,24.78861,26.399999618530277,24.731451,26.979999542236328,24.755575
2020-03-25,23.600000381469727,24.928595,26.68000030517578,24.998564,26.899999618530277,25.030226
2020-03-26,23.75,24.829586,26.86000061035156,24.873262,26.34000015258789,24.910322
2020-03-27,23.399999618530277,24.77275,26.600000381469727,24.89881,26.84000015258789,24.940416
2020-03-30,23.850000381469727,24.633102,26.459999084472656,24.782057,26.459999084472656,24.818338
