,loss,Close_nextDay_loss,Close_next_6mth_loss,Close_next_1yr_loss,Close_nextDay_root_mean_squared_error,Close_nextDay_mean_absolute_error,Close_nextDay_r_square,Close_next_6mth_root_mean_squared_error,Close_next_6mth_mean_absolute_error,Close_next_6mth_r_square,Close_next_1yr_root_mean_squared_error,Close_next_1yr_mean_absolute_error,Close_next_1yr_r_square
10,20.206851959228516,6.66655158996582,7.005795478820801,6.534503936767578,2.5819666385650635,1.95197331905365,0.3649481236934662,2.6468467712402344,2.017268180847168,0.3345557153224945,2.5562679767608643,1.9259487390518188,0.37736865878105164
11,20.009355545043945,6.603986740112305,6.883203029632568,6.5221662521362305,2.569822311401367,1.9403388500213623,0.3699457347393036,2.6235861778259277,1.9870643615722656,0.344251424074173,2.5538530349731445,1.9239377975463867,0.3774360716342926
12,20.012147903442383,6.686242580413818,6.841052532196045,6.484848499298096,2.5857770442962646,1.9539439678192139,0.3625558912754059,2.6155409812927246,1.9843220710754395,0.3485300838947296,2.546536684036255,1.9168004989624023,0.3810861110687256
13,20.01847267150879,6.752143859863281,6.809791564941406,6.456530570983887,2.5984885692596436,1.9716078042984009,0.35761377215385437,2.609557628631592,1.980921745300293,0.35210394859313965,2.54097056388855,1.9101359844207764,0.38390135765075684
14,19.85744857788086,6.631540775299072,6.77174186706543,6.454161643981934,2.5751779079437256,1.9457696676254272,0.3683931827545166,2.602257251739502,1.9726600646972656,0.35576876997947693,2.5405044555664062,1.9122575521469116,0.3843832015991211
15,19.854196548461914,6.632200241088867,6.744207382202148,6.477786064147949,2.5753064155578613,1.945255994796753,0.36784660816192627,2.596961259841919,1.9632346630096436,0.35726380348205566,2.545149803161621,1.9152826070785522,0.38172855973243713
16,20.1220703125,6.700908660888672,6.889068126678467,6.532097339630127,2.5886118412017822,1.953643798828125,0.3610488474369049,2.6247031688690186,1.9893341064453125,0.3438178300857544,2.5557966232299805,1.924172043800354,0.3763387203216553
17,20.31753158569336,6.83157205581665,6.962784767150879,6.523169040679932,2.6137280464172363,1.9868974685668945,0.35014447569847107,2.63870906829834,2.0116336345672607,0.33822551369667053,2.5540499687194824,1.9265315532684326,0.37796950340270996
18,19.8183536529541,6.616682529449463,6.724179744720459,6.477490425109863,2.572291374206543,1.9462426900863647,0.36907708644866943,2.59310245513916,1.965219497680664,0.35916873812675476,2.5450916290283203,1.9198285341262817,0.3819921016693115
19,19.789308547973633,6.6037373542785645,6.705597400665283,6.479976654052734,2.5697736740112305,1.9332680702209473,0.36973658204078674,2.5895168781280518,1.9523924589157104,0.3604135811328888,2.5455799102783203,1.9088943004608154,0.3809816837310791
20,20.22882843017578,6.751753807067871,6.939145088195801,6.53792667388916,2.598414182662964,1.968198537826538,0.35746169090270996,2.634225845336914,2.003791093826294,0.3404867649078369,2.5569374561309814,1.9271279573440552,0.37667593359947205
21,20.219297409057617,6.7187628746032715,6.962792873382568,6.537740230560303,2.592057943344116,1.954618215560913,0.3598383665084839,2.6387107372283936,1.999071478843689,0.33761104941368103,2.556900978088379,1.9232126474380493,0.3760397434234619
22,20.00347328186035,6.6710944175720215,6.807797431945801,6.524580478668213,2.582846164703369,1.9553370475769043,0.3643651008605957,2.609175205230713,1.9791810512542725,0.3518846035003662,2.554325819015503,1.9276604652404785,0.3775167465209961
23,20.087995529174805,6.733334064483643,6.817505359649658,6.537155628204346,2.5948665142059326,1.9543253183364868,0.3583165407180786,2.611035108566284,1.9720385074615479,0.3506554365158081,2.556786298751831,1.9195834398269653,0.37620115280151367
24,19.82243537902832,6.604174613952637,6.721653938293457,6.496602535247803,2.5698585510253906,1.9336912631988525,0.3698867857456207,2.592615842819214,1.9574010372161865,0.35947731137275696,2.5488433837890625,1.9156432151794434,0.3798123598098755
25,20.146671295166016,6.670345783233643,6.908703327178955,6.567625045776367,2.5827012062072754,1.946829915046692,0.36465850472450256,2.628441095352173,1.9846174716949463,0.3428657352924347,2.5627377033233643,1.9232550859451294,0.37371745705604553
26,19.754409790039062,6.5965895652771,6.642378330230713,6.515439987182617,2.568382740020752,1.9369615316390991,0.3705190420150757,2.5772814750671387,1.9421398639678955,0.3665308952331543,2.5525362491607666,1.921587586402893,0.3781921863555908
27,20.349788665771484,6.585590839385986,7.124986171722412,6.6392130851745605,2.5662410259246826,1.9312392473220825,0.37225341796875,2.6692676544189453,2.023905038833618,0.3232744336128235,2.576667070388794,1.9382314682006836,0.36720243096351624
28,20.05471420288086,6.529482364654541,6.884742736816406,6.640490531921387,2.5552849769592285,1.9236252307891846,0.37717998027801514,2.6238789558410645,1.9877674579620361,0.3446767330169678,2.5769147872924805,1.9409992694854736,0.36683154106140137
29,19.81660270690918,6.521831035614014,6.747141361236572,6.547636985778809,2.55378794670105,1.924329400062561,0.37808525562286377,2.5975258350372314,1.968774437904358,0.3576919734477997,2.55883526802063,1.930456519126892,0.37575769424438477
30,19.974411010742188,6.62931489944458,6.775157451629639,6.569940090179443,2.5747456550598145,1.9431040287017822,0.36843669414520264,2.6029133796691895,1.9748815298080444,0.35552334785461426,2.5631895065307617,1.9346685409545898,0.37402668595314026
31,19.476558685302734,6.474752426147461,6.538403034210205,6.463408470153809,2.544553518295288,1.913153886795044,0.3818472921848297,2.557030200958252,1.9252430200576782,0.3760552406311035,2.542323350906372,1.9122798442840576,0.38292384147644043
32,20.58873748779297,6.621089458465576,7.159243583679199,6.808406829833984,2.5731470584869385,1.9427173137664795,0.36926957964897156,2.675676107406616,2.0346174240112305,0.3206433653831482,2.609292507171631,1.969285011291504,0.35215163230895996
33,20.547224044799805,6.676350116729736,7.071074485778809,6.79979944229126,2.5838639736175537,1.944459080696106,0.36329224705696106,2.659148931503296,2.012389659881592,0.3269366919994354,2.607642412185669,1.9650975465774536,0.3518710136413574
34,20.425905227661133,6.86337423324585,6.841333389282227,6.721194267272949,2.6198043823242188,1.9871819019317627,0.34725603461265564,2.6155946254730225,1.9829363822937012,0.3491433560848236,2.592526435852051,1.9599212408065796,0.3599680960178375
35,19.922077178955078,6.775697708129883,6.593136310577393,6.553241729736328,2.6030170917510986,1.9700089693069458,0.35494664311408997,2.5677103996276855,1.9322431087493896,0.37140488624572754,2.5599300861358643,1.9229936599731445,0.3748561441898346
